Xing Wang
Problem: QueueControl_a
CPU Time: 12.2990 seconds
Expected Total Reward: 4389.1107 
Optimal Policy: 
 State: 0 ------> [[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
State: 44 ------> [[33, 11], [33, 11], [33, 11], [33, 11], [33, 11], [33, 11], [33, 11], [33, 11], [33, 11], [33, 11]]
State: 45 ------> [[34, 11], [34, 11], [34, 11], [34, 11], [34, 11], [34, 11], [34, 11], [34, 11], [34, 11], [34, 11]]
State: 46 ------> [[35, 11], [35, 11], [35, 11], [35, 11], [35, 11], [35, 11], [35, 11], [35, 11], [35, 11], [35, 11]]
State: 47 ------> [[36, 11], [36, 11], [36, 11], [36, 11], [36, 11], [36, 11], [36, 11], [36, 11], [36, 11], [36, 11]]
State: 48 ------> [[37, 11], [37, 11], [37, 11], [37, 11], [37, 11], [37, 11], [37, 11], [37, 11], [37, 11], [37, 11]]
State: 49 ------> [[38, 11], [38, 11], [38, 11], [38, 11], [38, 11], [38, 11], [38, 11], [38, 11], [38, 11], [38, 11]]
State: 50 ------> [[39, 11], [39, 11], [39, 11], [39, 11], [39, 11], [39, 11], [39, 11], [39, 11], [39, 11], [39, 11]]
State: 51 ------> [[40, 11], [40, 11], [40, 11], [40, 11], [40, 11], [40, 11], [40, 11], [40, 11], [40, 11], [40, 11]]
State: 52 ------> [[41, 11], [41, 11], [41, 11], [41, 11], [41, 11], [41, 11], [41, 11], [41, 11], [41, 11], [41, 11]]
State: 53 ------> [[41, 12], [41, 12], [41, 12], [41, 12], [41, 12], [41, 12], [41, 12], [41, 12], [41, 12], [41, 12]]
State: 54 ------> [[42, 12], [42, 12], [42, 12], [42, 12], [42, 12], [42, 12], [42, 12], [42, 12], [42, 12], [42, 12]]
State: 55 ------> [[43, 12], [43, 12], [43, 12], [43, 12], [43, 12], [43, 12], [43, 12], [43, 12], [43, 12], [43, 12]]
State: 56 ------> [[44, 12], [44, 12], [44, 12], [44, 12], [44, 12], [44, 12], [44, 12], [44, 12], [44, 12], [44, 12]]
State: 57 ------> [[45, 12], [45, 12], [45, 12], [45, 12], [45, 12], [45, 12], [45, 12], [45, 12], [45, 12], [45, 12]]
