Xing Wang
Problem: QueueControl_d
CPU Time: 13.0230 seconds
Expected Total Reward: 8823.0788 
Optimal Policy: 
State: 44 ------> [[0, 44], [0, 44], [0, 44], [0, 44], [0, 44], [0, 44], [0, 44], [0, 44], [0, 44], [0, 44]]
State: 45 ------> [[0, 45], [0, 45], [0, 45], [0, 45], [0, 45], [0, 45], [0, 45], [0, 45], [0, 45], [0, 45]]
State: 46 ------> [[0, 46], [0, 46], [0, 46], [0, 46], [0, 46], [0, 46], [0, 46], [0, 46], [0, 46], [0, 46]]
State: 47 ------> [[0, 47], [0, 47], [0, 47], [0, 47], [0, 47], [0, 47], [0, 47], [0, 47], [0, 47], [0, 47]]
State: 48 ------> [[0, 48], [0, 48], [0, 48], [0, 48], [0, 48], [0, 48], [0, 48], [0, 48], [0, 48], [0, 48]]
State: 49 ------> [[0, 49], [0, 49], [0, 49], [0, 49], [0, 49], [0, 49], [0, 49], [0, 49], [0, 49], [0, 49]]
State: 50 ------> [[0, 50], [0, 50], [0, 50], [0, 50], [0, 50], [0, 50], [0, 50], [0, 50], [0, 50], [0, 50]]
State: 51 ------> [[0, 51], [0, 51], [0, 51], [0, 51], [0, 51], [0, 51], [0, 51], [0, 51], [0, 51], [0, 51]]
State: 52 ------> [[0, 52], [0, 52], [0, 52], [0, 52], [0, 52], [0, 52], [0, 52], [0, 52], [0, 52], [0, 52]]
State: 53 ------> [[0, 53], [0, 53], [0, 53], [0, 53], [0, 53], [0, 53], [0, 53], [0, 53], [0, 53], [0, 53]]
State: 54 ------> [[0, 54], [0, 54], [0, 54], [0, 54], [0, 54], [0, 54], [0, 54], [0, 54], [0, 54], [0, 54]]
State: 55 ------> [[0, 55], [0, 55], [0, 55], [0, 55], [0, 55], [0, 55], [0, 55], [0, 55], [0, 55], [0, 55]]
State: 56 ------> [[1, 55], [1, 55], [1, 55], [1, 55], [1, 55], [1, 55], [1, 55], [1, 55], [1, 55], [1, 55]]
State: 57 ------> [[1, 56], [1, 56], [1, 56], [1, 56], [1, 56], [1, 56], [1, 56], [1, 56], [1, 56], [1, 56]]
State: 58 ------> [[2, 56], [2, 56], [2, 56], [2, 56], [2, 56], [2, 56], [2, 56], [2, 56], [2, 56], [2, 56]]
State: 59 ------> [[2, 57], [2, 57], [2, 57], [2, 57], [2, 57], [2, 57], [2, 57], [2, 57], [2, 57], [2, 57]]
State: 60 ------> [[3, 57], [3, 57], [3, 57], [3, 57], [3, 57], [3, 57], [3, 57], [3, 57], [3, 57], [3, 57]]
